"","film","year_film","nom_bp","nom_dir","nom_aml","nom_afl","nom_cin","nom_prod","nom_wa","nom_wo","nom_fm","nom_mo","nom_ms","nom_ams","nom_afs","nom_vis","nom_cos","nom_mak","nom_sm","won_bp"
"196","Guess Who's Coming to Dinner (1967)",1967,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0
"197","Hacksaw Ridge (2016)",2016,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"198","Hamlet (1948)",1948,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1
"199","Hannah and Her Sisters (1986)",1986,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0
"200","Heaven Can Wait (1943)",1943,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"201","Heaven Can Wait (1978)",1978,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0
"202","Hell or High Water (2016)",2016,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"203","Hello, Dolly! (1969)",1969,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0
"204","Henry V (1946)",1946,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"205","Her (2013)",2013,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0
"206","Here Comes Mr. Jordan (1941)",1941,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"207","Here Comes the Navy (1934)",1934,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"208","Hidden Figures (2016)",2016,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"209","High Noon (1952)",1952,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"210","Hold Back the Dawn (1941)",1941,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"211","Hollywood Revue (1928)",1928,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"212","Hope and Glory (1987)",1987,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"213","How Green Was My Valley (1941)",1941,1,1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1
"214","How the West Was Won (1963)",1963,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0
"215","Howards End (1992)",1992,1,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0
"216","Hugo (2011)",2011,1,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0
"217","I Am a Fugitive from a Chain Gang (1932)",1932,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"218","Imitation of Life (1934)",1934,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"219","In Old Arizona (1928)",1928,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"220","In Old Chicago (1937)",1937,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
"221","In Which We Serve (1943)",1943,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"222","In the Bedroom (2001)",2001,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"223","In the Heat of the Night (1967)",1967,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
"224","In the Name of the Father (1993)",1993,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0
"225","Inception (2010)",2010,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0
"226","Inglourious Basterds (2009)",2009,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0
"227","It Happened One Night (1934)",1934,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"228","It's a Wonderful Life (1946)",1946,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"229","Ivanhoe (1952)",1952,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"230","JFK (1991)",1991,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0
"231","Jaws (1975)",1975,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
"232","Jerry Maguire (1996)",1996,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"233","Jezebel (1938)",1938,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
"234","Johnny Belinda (1948)",1948,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0
"235","Jojo Rabbit (2019)",2019,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0
"236","Joker (2019)",2019,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0
"237","Judas and the Black Messiah (2020)",2020,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
"238","Judgment at Nuremberg (1961)",1961,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0
"239","Julia (1977)",1977,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,0,0,0
"240","Julius Caesar (1953)",1953,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"241","Juno (2007)",2007,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"242","King Richard (2021)",2021,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0
"243","King Solomon's Mines (1950)",1950,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"244","Kings Row (1942)",1942,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"245","Kiss of the Spider Woman (1985)",1985,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
